Location,Category,Address,Latitude/Longitude,Phone,Website,Schedule,Description,Lifestyle
Walkway Over the Hudson,Trail,"61 Parker Ave, Poughkeepsie, NY 12601","41.710605, -73.944260",(845) 454-9649,http://www.walkway.org,,"212-ft.-high, 1.28-mi.-long pedestrian walkway on converted railroad bridge.",Trailblazer
Nixie Sparrow,Shopping,"291 Main St #1, Beacon, NY 12508","41.505843, -73.971516",(845) 202-7011,http://nixiesparrow.com,,DIY space hosting adult workshops with visiting artists and makers.,Trailblazer
The Roundhouse at Beacon Falls,Eatery,"2 E Main St, Beacon, NY 12508","41.502718, -73.962093",(845) 440-3327,http://www.roundhousebeacon.com,,"Boutique, industrial-chic hotel with farm-to-table dining over a waterfall.",Trailblazer
Old Souls Brand,Shopping,"63 Main St, Cold Spring, NY 10516","41.417567, -73.958727",(845) 809-5886,http://www.oldsouls.com,,Wilderness outfitter committed to American brands.,Trailblazer
Cold Spring General Store,Shopping,"61 Main St, Cold Spring, NY 10516","41.417486, -73.958330",(845) 809-5522,http://coldspringgeneralstore.com,,Purveyor of quality goods and provisions.,Trailblazer
the pantry,Cafe,"3091 U.S. 9, Cold Spring, NY 10516","41.454819, -73.919977",(845) 265-2840,http://thepantrycs.com,,Coffee bar and market with noshes and homebrewing supplies.,Trailblazer
SWING,Shopping,"65 Main St, Cold Spring, NY 10516","41.417527, -73.958413",(845) 809-5955,http://swingshopping.com,,Owner-operated lifestyle fashion for women and kids.,Trailblazer
Cold Spring Apothecary,Shopping,"75 Main St, Cold Spring, NY 10516","41.417707, -73.957302",(845) 232-1272,http://coldspringapothecary.com,,"Lotions, teas, wellness products and other artisan remedies.",Trailblazer
Bank Square Coffee House,Cafe,"129 Main St, Beacon, NY 12508","41.508240, -73.975875",(845) 440-7165,http://banksquarecoffeehouse.com,,Lively coffee house with patio space and communal guitar.,Trailblazer
The Hop,Eatery,"554 Main St, Beacon, NY 12508","41.504201, -73.962543",(845) 440-8676,http://thehopbeacon.com,,Bar room and sit-down dining for serious craft beer-food pairings.,Trailblazer
Play,Shopping,"167 Main St, Beacon, NY 12508","41.508065, -73.975373",(845) 838-2134,http://iloveplaytoys.com,,Toys for kids and kids at heart. (Think the gift section at Urban Outfitters).,Trailblazer
Dream in Plastic,Shopping,"177 Main St, Beacon, NY 12508","41.507917, -73.975062",(845) 632-3383,http://dreaminplastic.com,,"Art toys, fun housewares, snarky cards and vintage cameras.",Trailblazer
Hudson Beach Glass,Shopping,"162 Main St, Beacon, NY 12508","41.508429, -73.975443",(845) 440-0068,http://hudsonbeachglass.com,,Glassblowing studio in converted firehouse.,Trailblazer
Gaskins,Eatery,"2 Church Ave, Germantown, NY 12526","42.132240, -73.880107",(518) 537-2107,http://gaskinsny.com,,Locavore gastropub and favorite meetingplace.,Trailblazer
Boscobel,Attraction,"1601 NY-9D, Garrison, NY 10524","41.411699, -73.938556",(845) 265-3638,http//boscobel.org,,Historic Hudson Valley mansion with gardens and frequent events.,Trailblazer
Birdsall House,Bar,"970 Main St, Peekskill, NY 10566","41.291812, -73.920256",(914) 930-1880,http://birdsallhouse.net,,"Laid-back gastropub with on-tap microbrews, nuanced pub grub and beer garden.",Trailblazer
Manitoga,Attraction,"584 NY-9D, Garrison, NY 10524","41.349272, -73.953510",(845) 424-3812,http://visitmanitoga.org,,"House, studio and gardens of industrial designer Russell Wright.",Trailblazer
Wilderstein,Attraction,"330 Morton Rd, Rhinebeck, NY 12572","41.894067, -73.942178",(845) 876-4818,http://wilderstein.org,,Queen Anne manse owned by Roosevelt cousin Daisy Suckley.,Trailblazer
Breakneck Ridge Trailhead,Trail,"Cold Spring, NY","41.443226, -73.977574",,,,Breathtaking views of the Hudson Highlands.,Trailblazer
Stissing Mountain,Trail,"499 Lake Rd, Pine Plains, NY 12567","41.970009, -73.681830",,,,The fire tower is one of the area's tallest lookouts.,Trailblazer
Appalachian Trail,Trail,"Pawling, NY","41.592883, -73.588037",,,,High on any adventurer's bucket list.,Trailblazer
Hudson Hil's,Eatery,"129-131 Main St, Cold Spring, NY 10516","41.418474, -73.956819",(845) 265-9471,http://hudsonhils.com,,Sunny sidewalk bistro featuring American classics with local ingredients.,Trailblazer
Mill House Brewing Company,Bar,"289 Mill St, Poughkeepsie, NY 12601","41.705207, -73.925952",(845) 485-2739,http://millhousebrewing.com,,Brewpub and locavore pub grub in restored mill.,Trailblazer
Bannerman's Island,Park,,"41.455483, -73.989053",,,,"Castle ruins in the Hudson, a popular kayaker's haunt.",Trailblazer
Vanderbilt Mansion,Attraction,"119 Vanderbilt Park Rd, Hyde Park, NY 12538","41.796498, -73.942473",(845) 229-7770,http://nps.gov,,Premier example of the gilded age Hudson River palace.,Trailblazer
Staatsburgh State Historic Site,Attraction,"75 Mills Mansion 6 Road, Staatsburg, NY 12580","41.856693, -73.929301",(845) 889-8851,http://nysparks.com/,,"Home to McKim, Mead & White-designed Mills Mansion.",Trailblazer
Franklin D. Roosevelt Presidential Library and Museum,Attraction,"4079 Albany Post Rd, Hyde Park, NY 12538","41.768696, -73.933973",(845) 486-7770,http://fdrlibrary.marist.edu,,The real Hyde Park-on-Hudson.,Trailblazer
Thunder Ridge Ski Area,Attraction,"137 Birch Hill Rd, Patterson, NY 12563","41.507913, -73.585904",(845) 878-4100,http://thunderridgeski.com,,Convenient ski hill on NY-22 with lifts.,Trailblazer
Daryl's House,Attraction,"130 NY-22, Pawling, NY 12564","41.534079, -73.583782",(845) 289-0185,http://darylshouseclub.com,,Lively roadhouse venue owned by Hall & Oates' Daryl Hall.,Trailblazer
McKinney & Doyle Fine Foods,Eatery,"10 Charles Colman Blvd, Pawling, NY 12564","41.562193, -73.601485",(845) 855-3875,http://mckinneyanddoyle.com,,"Tavernlike spot features robust New American fare, with attached bakery.",Trailblazer
Woodstock General Supply,Shopping,"33 Tinker St, Woodstock, NY 12498","42.040280, -74.119267",(845) 684-7062,http://woodstockgeneralsupply.com,,"Clothing, homegoods, and accessories for the modern outdoorsman.",Trailblazer
Olana State Historic Site,Attraction,"5720 NY-9G, Hudson, NY 12534","42.217148, -73.829233",(518) 828-0135,http://olana.org,,The home and studio of Hudson River School painter Frederic Edwin Church.,Trailblazer
The Lantern Inn,Bar,"10 Main St, Wassaic, NY 12592","41.804761, -73.559461",(845) 373-8389,http://wassaiclanterninn.com/,,"Workingman's bar revived as ""creative class"" hang with GQ-endorsed pizza.",Trailblazer
Croton Gorge Park,Park,"35 Yorktown Rd, Cortlandt, NY 10520","41.225929, -73.857397",(914) 864-7275,http://parks.westchestergov.com,,"Fishing, hiking and exploring on 97 acres at the base of Croton Dam.",Trailblazer
Freight House Cafe,Cafe,"609 US-6, Mahopac, NY 10541","41.371396, -73.734983",(845) 628-1872,http://thefreighthousecafe.com,,"Eclectic community-centered coffeehouse with wine, beer and live music at night.",Trailblazer
Bruised Apple Books,Shopping,"923 Central Ave, Peekskill, NY 10566","41.290386, -73.920755",(914) 734-7000,http://bruisedapplebooks.com,,"50,000 rare, new and out of print books (and music).",Trailblazer
Putnam Trailway,Trail,,"41.418694, -73.679108",,,,Final leg of 40+ mile system on old Putnam Division rail line.,Trailblazer
Fox Lane Boat Works,Attraction,"11 Fields Lane, Brewster, NY 10509","41.365306, -73.609936",(845) 278-0647,http://www.foxlaneboatworks.com,,Wooden boat company offering boatbuilding programs and local kayaking tours.,Trailblazer
Ferncliff Forest,Park,"68 Mt Rutsen Rd, Rhinebeck, NY 12572","41.956162, -73.924569",(845) 876-1559,http://ferncliffforest.org,,Preserved woodland with 2.1-mile loop trail.,Trailblazer
Overlook Mountain Trail,Trail,"Woodstock, NY 12498","42.085026, -74.093453",,,,Quintessential Catskills hiking route with sights including fire tower and hotel ruins.,Trailblazer
Suburban Groove,Shopping,"33 Katonah Ave, Katonah, NY 10536","41.259410, -73.683894",(914) 232-3300,http://www.suburbangroove.com/,,"Clever, unexpected gifts. (Think Urban Outfitters).",Villager
Katonah Reading Room,Cafe,"19 Edgemont Road, Katonah, NY 10536","41.260400, -73.684658",(914) 232-1010,,,Coffee bar/cafe in the town's old Victorian library.,Villager
Charles Department Store,Shopping,"113 Katonah Ave, Katonah, NY 10536","41.258278, -73.684300",(914) 232-5200,http://charlesdepartmentstore.com,,Century-old family run department stocking popular American brands.,Villager
Kelloggs & Lawrence,Shopping,"26 Parkway, Katonah, NY 10536","41.258734, -73.684704",(914) 232-3351,http://kelloggsandlawrence.com,,"Old-fashioned hardware store and country gifts, est. 1887.",Villager
Little Joe's Coffee & Books,Shopping,"26 Katonah Ave, Katonah, NY 10536","41.259716, -73.684180",(914) 232-7278,http://www.littlejoesbooks.com,,Beloved coffee bar and bookstore.,Villager
Bedford 234,Eatery,"635 Old Post Rd, Bedford, NY 10506","41.204244, -73.643626",(914) 234-5656,http://bedford234.com,,Bustling bistro featuring regional American fare,Villager
G.E. Brown Fine Food & Provisions,Cafe,"652 Old Post Rd, Bedford, NY 10506","41.204088, -73.644325",(914) 234-3185,http://gebrown.com,,"Prepared slow food, takeaway dinners and coffee.",Villager
Le Jardin du Roi,Eatery,"95 King St, Chappaqua, NY 10514","41.159547, -73.771806",(914) 238-1368,http://lejardinchappaqua.com,,Cozy French bistro with courtyard seating.,Villager
Crabtree's Kittle House,Eatery,"11 Kittle Rd, Chappaqua, NY 10514","41.180946, -73.743073",(914) 666-8044,http://kittlehouse.com,,Formal dining in a 1790 inn with a world-renowned wine list.,Villager
Susan Lawrence Gourmet Foods,Shopping,"26 N Greeley Ave, Chappaqua, NY 10514","41.159838, -73.772224",(212) 509-8833,http://www.susanlawrence.com,,Order-at-counter gourmet food shop and caterer.,Villager
Flour & Sun Bakery,Cafe,"19 Washington Ave, Pleasantville, NY 10570","41.135775, -73.791178",(914) 495-3232,http://flourandsunbakery.com,,Whimsical boutique bakery.,Villager
Mint Fine Foods,Eatery,"19 Main St, Tarrytown, NY 10591","41.076639, -73.858452",(914) 703-6511,http://mintpremiumfoods.biz,,"Inventive panini, rare cheese, gourmet goods and sidewalk seating.",Villager
Coffee Labs Roasters,Cafe,"7 Main St, Tarrytown, NY 10591","41.076523, -73.858318",(914) 332-1479,http://coffeelabs.com,,"Divine roasts, skilled latte artists and chill vibes keep the regulars hooked.",Villager
The Taco Project,Eatery,"18 Main St, Tarrytown, NY 10591","41.076321, -73.858802",(914) 909-4455,http://thetacoprojectny.com,,Hip Main Street taqueria.,Villager
RiverMarket Bar and Kitchen,Eatery,"127 W Main St, Tarrytown, NY 10591","41.077403, -73.865528",(914) 631-3100,http://rivermarketbarandkitchen.com,,"Farm-to-fork with patio, biodynamic wine and attached gourmet shop.",Villager
Wolfert's Roost,Eatery,"100 Main St, Irvington, NY 10533","41.039037, -73.866627",(914) 231-7576,http://wolfertsroostirv.com,,Artful New American by locavore caterer.,Villager
zachy's,Shopping,"16 East Pkwy, Scarsdale, NY 10583","40.989141, -73.807226",(914) 874-8000,http://zachys.com,,Preeminent wine and spirits shop.,Villager
Rosemary & Vine,Eatery,"29 Purchase St, Rye, NY 10580","40.982583, -73.683592",(914) 481-8660,http://rosemaryandvine.com,,"Veg-forward, Eastern Mediterranean in stunning space.",Villager
Tarry Market,Cafe,"179 N Main St, Port Chester, NY 10573","41.004235, -73.659589",(914) 253-5680,http://tarrymarket.com/,,"Batali & Bastianich's ""mini-Eataly"" in Westchester.",Villager
Fortina,Eatery,"17 Maple Ave, Armonk, NY 10504","41.126420, -73.712550",(914) 273-0900,http://fortinapizza.com,,Wood-fired new Italian in Brooklynesque setting. ,Villager
Market North,Cafe,"387 Main St, Armonk, NY 10504","41.125405, -73.713612",(914) 273-3773,http://mktnorth.com,,Order-at-counter sister spot to Restaurant North.,Villager
Walter's Hot Dogs,Eatery,"937 Palmer Ave, Mamaroneck, NY 10543","40.942879, -73.746379",,http://waltershotdogs.com,,Slinging legendary hot dogs out its roadside pagoda since 1928.,Villager
Half Time Beer,Shopping,"139 Hoyt Ave, Mamaroneck, NY 10543","40.952161, -73.738738",(914) 341-1666,http://www.halftimebeverage.com,,Literally a craft beer supermarket.,Villager
Polpettina,Eatery,"147 Larchmont Ave, Larchmont, NY 10538","40.929075, -73.743806",(914) 341-1460,http://polpettina.com,,"Pizza, modern Italian and mason jar craft drafts.",Villager
Auray Gourmet,Shopping,"144 Larchmont Ave, Larchmont, NY 10538","40.928382, -73.752309",(914) 833-2274,http://auraygourmet.com,,Artisan cheese and imported specialties.,Villager
Zumbach's Gourmet Coffee,Cafe,"77 Pine St, New Canaan, CT 06840","41.144149, -73.497635",(203) 966-2704,,,"Small-batch roaster hosting ""Caffeine & Carburetors"" classic car meets.",Villager
Locali,Eatery,"32 Forest St, New Canaan, CT 06840","41.148701, -73.491784",(203) 920-1440,http://localipizzabar.com,,"Wood-fired Neopolitan pizza, entrees and drinks.",Villager
Hajime,Eatery,"267 Halstead Ave, Harrison, NY 10528","40.968476, -73.712858",(914) 777-1543,,,Authentic sushi house preparing with traditional methods.,Villager
Craftsman Ale House,Bar,"235 Harrison Ave, Harrison, NY 10528","40.968373, -73.711371",(914) 630-7484,http://craftsmanalehouse.com,,"Rotating craft drafts, bottles and bites.",Villager
The Oath,Bar,"5 Main St, Tarrytown, NY 10591","41.076520, -73.858046",(914) 909-5148,http://theoathny.com,,Craft beer sanctuary with 20 taps.,Villager
Halstead Ave Taqueria,Eatery,"261 Halstead Ave, Harrison, NY 10528","40.968181, -73.713233",(914) 341-1283,http://taqueriahalstead.com,,Lively new-Mexican dining.,Villager
June & Ho: La Maison Des Gourmets,Shopping,"70 Purchase St, Rye, NY 10580","40.984144, -73.684191",(914) 967-1900,,,Gourmet grocer with artisan sandwiches and other prepared foods.,Villager
WUJI,Eatery,"26 Purchase St, Rye, NY 10580","40.982637, -73.684252",(914) 481-4758,http://www.wujirestaurant.com,,"Pure, fresh Chinese with natural ingredients.",Villager
The Cookery,Eatery,"39 Chestnut St, Dobbs Ferry, NY 10522","41.014282, -73.876434",(914) 305-2336,http://thecookeryrestaurant.com,,Passion-driven adventurous Italian by chef Dave DiBari.,Villager
Estia's Back Porch Cafe,Eatery,"1020 Boston Post Rd, Darien, CT 06820","41.075370, -73.470941",(203) 202-7052,http://estiascafe.com,,Outpost of Sag Harbor favorite spotlighting breakfast fare and local ingredients.,Villager
NEAT Coffee,Cafe,"20 Grove St, Darien, CT 06820","41.075776, -73.473016",(203) 202-7215,http://neatcoffee.com,,Perfection-obssessed artisan coffee bar and roasting company.,Villager
Bodega Taco Bar,Eatery,"980 Post Rd, Darien, CT 06820","41.076072, -73.470868",(203) 655-8500,http://www.bodegatacobar.com,,"Casual taqueria with creative tacos, assorted tequilas and cerveza.",Villager
Exit 4 Food Hall,Eatery,"153 Main St, Mt Kisco, NY 10549","41.204669, -73.727202",(914) 241-1200,http://exit4foodhall.com,,Urban-style artisan food hall.,Villager
Ladle of Love,Cafe,"11B S Moger Ave, Mt Kisco, NY 10549","41.207829, -73.728130",(914) 242-9661,http://ladleoflove.com,,Award-winning soups and comfort food.,Villager
L'Anjou Patisserie Francaise,Shopping,"130 N Bedford Rd, Mt Kisco, NY 10549","41.212536, -73.720394",(914) 242-4929,http://lanjoupatisserie.com,,Authentic French pastry shop hidden in unlikely place.,Villager
Lexington Square Cafe,Eatery,"510 Lexington Ave, Mt Kisco, NY 10549","41.190027, -73.732131",(914) 244-3663,http://lexingtonsquarecafe.com,,New American surf 'n' turf served in a sprawling restaurant with a balcony.,Villager
E Shot Cafe,Cafe,"130 Chatsworth Ave, Larchmont, NY 10538","40.932856, -73.759526",,,,NYC-grade espresso bar serving Counter Culture beans.,Villager
Stanz,Eatery,"26 Chatsworth Ave, Larchmont, NY 10538","40.929849, -73.752038",(914) 833-9760,,,Hopping sidewalk cafe known for its sandwiches and omelets.,Villager
Fountainhead Wines & Distillations,Shopping,"19 Depot Plz, Bedford Hills, NY 10507","41.236383, -73.701287",(914) 244-8973,http://fountainheadwineshop.com,,Beautiful wine shop by Bedford Hills train station.,Villager
Tequila Mockingbird,Eatery,"6 Forest St, New Canaan, CT 06840","41.148158, -73.492274",(203) 966-2222,http://tequilamockingbirdnc.com,,Kid-friendly Mexican eatery adorned with vibrant folk art and adult beverages.,Villager
The Green Growler,Bar,"368 S Riverside Ave, Croton-On-Hudson, NY 10520","41.195112, -73.881927",(914) 862-0961,http://thegreengrowler.com,,"Craft beer grocer, w/growler fills, homebrew supplies and taproom.",Villager
The Black Cow Coffee Roasters,Cafe,"7 Wheeler Ave, Pleasantville, NY 10570","41.135003, -73.791478",(914) 495-3727,http://www.blackcow.com,,Classic coffee house and roaster with quirky drinks and snacks.,Villager
The Black Cow Coffee Roasters,Cafe,"4 Old Post Rd S, Croton-On-Hudson, NY 10520","41.208832, -73.883826",(914) 271-7544,http://www.blackcow.com,,Classic coffee house and roaster with quirky drinks and snacks.,Villager
AvantGarden,Shopping,"87 Westchester Ave, Pound Ridge, NY 10576","41.191297, -73.553896",(914) 764-0010,http://www.avantgardenltd.com/,,"Modern outdoor furnishing and lightning, housed in an old gas station.",Villager
North Star,Eatery,"85 Westchester Ave, Pound Ridge, NY 10576","41.191211, -73.552609",(914) 764-0200,http://www.northstarny.com/,,New American dishes in a rustic-chic space and bi-weekly live music.,Villager
Wittus Fire By Design,Shopping,"40 Westchester Ave, POB 120, Pound Ridge, NY 10576","41.188358, -73.546551",(914) 764-5679,http://www.wittus.com,,Designer fireplace showroom.,Villager
Meme's Treats Bakery,Cafe,"17 Adams St, Bedford Hills, NY 10507","41.236925, -73.699541",(914) 218-3380,http://memestreats.com,,"Grab a ""commuter special"" on your way to Metro North.",Villager
Brew & Co.,Shopping,"532 Bedford Rd, Bedford Hills, NY 10507","41.229700, -73.709075",(914) 666-3600,http://brewandcompany.com,,Top off a growler at this local specialty shop.,Villager
Juniper,Eatery,"575 Warburton Ave, Hastings-On-Hudson, NY 10706","40.995943, -73.882004",(914) 478-2542,http://juniperhastings.com,,Cozy cafe with ever-changing menu of New American cuisine BYOB.,Villager
Saint George,Eatery,"155 Southside Ave, Hastings-On-Hudson, NY 10706","40.995086, -73.883087",(914) 478-1671,http://saintgeorgebistro.com,,Stylish new French bistro.,Villager
Clockwork Records,Shopping,"6 Spring St, Hastings-On-Hudson, NY 10706","40.995295, -73.882914",(914) 478-0241,http://clockworkrecordsny.com,,Westchester's vinyl mecca.,Villager
Antoinette's Patisserie,Cafe,"417 Warburton Ave, Hastings-On-Hudson, NY 10706","40.990611, -73.883421",(914) 478-7200,http://giacobean.com,,Re-energized classic pastry shop roasting its own coffee label.,Villager
Old New House,Shopping,"33 Katonah Ave, Katonah, NY 10536","41.259644, -73.684484",(914) 401-9060,http://oldnewhouse.com,,Hidden gem for stylish home furnishings.,Villager
Sweet Pea's Baking Company,Cafe,"212 Sound Beach Ave, Old Greenwich, CT 06870","41.031644, -73.567440",(203) 990-0008,http://sweetpeasct.com,,Artisan bake shop and coffee roaster in Old Greenwich village.,Villager
Back 40 Mercantile,Shopping,"264 Sound Beach Ave, Greenwich, CT 06870","41.030578, -73.567082",(203) 637-0240,http://back40mercantile.com,,Modern general store spotlighting local makers and sustainable goods.,Villager
Wishes,Shopping,"1811 Commerce St, Yorktown Heights, NY 10598","41.270795, -73.780671",(914) 962-9474,http://wishesboutique.com,,"Intimate gift boutique carrying women's jewelry, accessories and home items.",Villager
273 Kitchen,Eatery,"273 Halstead Ave, Harrison, NY 10528","40.968673, -73.712993",(914) 732-3333,http://273kitchen.com,,Small-plate Mediterranean and wine.,Villager
Porto Napoli,Eatery,"261 Halstead Ave, Harrison, NY 10528","40.968273, -73.713450",(914) 732-3232,portanapolipizzaharrison.com,,Neopolitan pies by the team from Bleecker Street staple Kesté.,Villager
Slave to the Grind,Cafe,"58 Pondfield Rd, Bronxville, NY 10708","40.940674, -73.833678",(914) 961-7777,,,"Collegiate coffee house popular with freelancers, families and students alike.",Villager
Cooked & Co.,Cafe,"128 Garth Rd, Scarsdale, NY 10583","40.985377, -73.810408",(914) 205-3939,http://www.cookedandco.com,,Energetic counter-service/to-go eatery. (Two words: Nutella muffin).,Villager
Village Social,Eatery,"251 Main St, Mt Kisco, NY 10549","41.201652, -73.725169",(914) 241-6260,http://villagesocialkb.com,,Hip gastropub offering elevated comfort food in an industrial-chic space.,Villager
Womrath Bookshop,Shopping,"76 Pondfield Rd, Bronxville, NY 10708","40.940276, -73.833649",(914) 337-0199,http://womrath.com,,Bronxville's hometown bookstore of 75+ years.,Villager
Leatherstocking Trail,Trail,"Larchmont, NY 10538","40.944234, -73.772265",,,,Neighborhood trail through wooded residential area.,Villager
Hickory & Tweed,Shopping,"410 Main St, Armonk, NY 10504","41.126178, -73.713667",(914) 273-3397,http://www.hickoryandtweed.com/,,"Quintessential outfitter for hikers, skiiers, cyclists and general rugged gear.",Villager
Miller's Toys,Shopping,"335 Mamaroneck Ave, Mamaroneck, NY 10543","40.951628, -73.735002",(914) 698-5070,http://millerstoys.com,,"A local classic for generations, in business since 1908.",Villager
Chelsea Dry Goods,Shopping,"2 Main St, Hastings-On-Hudson, NY 10706","40.994183, -73.882204",(914) 372-1277,,,"Cult favorite with artful and eco-friendly goods for home, body and mind.",Villager
King Kone,Eatery,"Whitehall COR Rte 35 & 100, Somers, NY 10589","41.275938, -73.709551",(914) 232-0571,,,Favorite roadside soft serve stand surrounded by picnic tables.,Villager
Dobbs Bishop Fine Cheese,Shopping,"107 Pondfield Rd, Bronxville, NY 10708","40.939413, -73.832511",(914) 361-1770,http://dobbsandbishop.com/,,Cheesemonger with artisan offerings and gift baskets.,Villager
United House Wrecking,Shopping,"535 Hope St, Stamford, CT 06906","41.077506, -73.522170",(203) 348-5371,http://www.unitedhousewrecking.com/,,"Warehouse of architectural salvage, curiosities and unique new furniture.",Villager
Local,Eatery,"75 S Greeley Ave, Chappaqua, NY 10514","41.158019, -73.772715",(914) 238-0698,http://www.chappaqualocal.com,,"Ice cream, froyo and veg-forward fare in stylish setting with Eames chairs.",Villager
Bronx River Reservation,Trail,"2 Bronx River Pkwy, Scarsdale, NY 10583","40.947341, -73.834375",(914) 723-4058,http://parks.westchestergov.com,,807-acre paved linear park filling greenbelt beside Bronx River Parkway.,Villager
Mt. Kisco Diner,Eatery,"252 Main St, Mt Kisco, NY 10549","41.201651, -73.725942",(914) 666-5676,http://mtkiscodiner.com,,A local diner so popular even the governor is known to frequent it.,Villager
Cherry Lawn Farm Market,Cafe,"815 Weaver St, New Rochelle, NY 10804","40.958867, -73.772903",(914) 632-1850,http://www.cherrylawnfarm.com,,"Beloved farm stand with prepared foods, fresh breakfast sandwiches and coffee.",Villager
La Panetière,Eatery,"530 Milton Rd, Rye, NY 10580","40.961952, -73.688504",(914) 967-8140,http://lapanetiere.com,,High-end contemporary French restaurant in a historic mansion.,Villager
Park 143 Bistro,Eatery,"143 Parkway Rd, Bronxville, NY 10708","40.941257, -73.836077",(914) 337-5100,http://www.143parkbistroandfish.com,,"Glam cafe for creative tapas, pastas, steaks, burgers an cocktails.",Villager
Lulu Cake Boutique,Cafe,"40 Garth Rd, Scarsdale, NY 10583","40.987774, -73.809735",(914) 722-8300,http://everythinglulu.com,,"High-end, artisanal bakery specializing in sophisticated cakes.",Villager
Northeast Oyster Company,Eatery,"152 Mamaroneck Ave, Mamaroneck, NY 10543","40.949754, -73.733436",(914) 630-7801,http://northeastoystercompany.com,,A nail salon-turned-serious bivalve bar.,Villager
Captain Lawrence Brewing Co.,Bar,"444 Saw Mill River Rd, Elmsford, NY 10523","41.070382, -73.814919",(914) 741-2337,http://captainlawrencebrewing.com,,"Popular brewery w/taproom, tastings, tours and visiting food trucks.",Villager
The Patio,Eatery,"1133 Pleasantville Rd # 11, Briarcliff Manor, NY 10510","41.149622, -73.829604",(914) 941-4414,,,"Classic coffeeshop with American favorites, plus an ice cream parlor.",Villager
Scenic Hudson Park,Park,"Irvington, NY 10533","41.036096, -73.875083",(914) 591-7736,http://www.scenichudson.org,,Riverfront greenbelt beside historic factory complex.,Villager
bartaco,Eatery,"1 Willett Ave, Port Chester, NY 10573","41.002220, -73.659340",(914) 937-8226,http://bartaco.com,,"Waterside taqueria with pork belly tacos, fresh-pressed margaritas and more.",Waterfronter
Playland,Attraction,"1 Playland Pkwy, Rye, NY 10580","40.966403, -73.673678",(914) 813-7010,http://ryeplayland.org,,"Historic beachfront amusement park featuring the famous ""Dragon Coaster.""",Waterfronter
Harvest on Hudson,Eatery,"1 River St, Hastings-On-Hudson, NY 10706","40.998368, -73.884085",(914) 478-2800,http://harvesthudson.com,,Outpost of Montauk family-style staple set in romantic riverside garden setting.,Waterfronter
Saltaire,Eatery,"55 Abendroth Ave, Port Chester, NY 10573","41.001740, -73.661428",(914) 939-2425,http://saltaireoysterbar.com,,Oyster bar and fish house serving in stylish industrial surrounds.,Waterfronter
Rowayton Seafood Fish Market,Eatery,"89 Rowayton Ave, Norwalk, CT 06853","41.064084, -73.444281",(203) 838-7473,http://rowaytonseafood.com,,Dockside New England dining with adjacent market selling fresh catches.,Waterfronter
L'escale,Eatery,"500 Steamboat Rd, Greenwich, CT 06830","41.018139, -73.623450",(203) 661-4600,http://lescalerestaurant.com,,Harborfront French dining at the Delamar Hotel.,Waterfronter
Riverside Yacht Club,Attraction,"102 Club Rd, Greenwich, CT 06878","41.022046, -73.592851",(203) 637-1706,http://riversideyc.org,,Private membership boat club.,Waterfronter
Belle Haven Club,Attraction,"100 Harbor Dr, Greenwich, CT 06830","41.002918, -73.634258",(203) 861-5353,http://www.bellehavenclub.com,,Private membership boat club.,Waterfronter
Larchmont Yacht Club,Attraction,"1 Woodbine Ave, Larchmont, NY 10538","40.924242, -73.744360",(914) 834-2440,http://larchmontyc.org,,Private membership boat club.,Waterfronter
Indian Harbor Yacht Club,Attraction,"710 Steamboat Rd, Greenwich, CT 06830","41.011397, -73.622821",(203) 869-2484,http://www.indianharboryc.com,,Private membership boat club.,Waterfronter
Lake Waccabuc,Park,"Waccabuc, NY 10597","41.296532, -73.594841",,,,Storied powerboat lake with dramatic rock outcroppings.,Waterfronter
Peach Lake,Park,"North Salem, NY 10560","41.356906, -73.575149",,,,Powerboat lake surrounded by a community of quaint cottages.,Waterfronter
Lake Mahopac,Park,"Mahopac, NY 10541","41.372444, -73.737245",,,,Powerboat lake with a rich history an 18th-19th century resort town.,Waterfronter
Shattemuc Yacht Club,Attraction,"1 Westerly Rd, Ossining, NY 10562","41.162375, -73.870241",(914) 941-8777,http://shattemucyc.org,,Private membership boat club.,Waterfronter
Irvington Boat & Beach Club,Attraction,"Bridge St, Irvington, NY 10533","41.041362, -73.875227",(914) 591-6801,http://irvingtonboatclub.com,,Private membership boat club.,Waterfronter
Garrison Yacht Club,Attraction,"Garrison’s Landing, Garrison, NY 10524","41°22′54.24″N, 73°56′50.84″W",,http://garrisonyachtclub.com,,Private membership boat club.,Waterfronter
Washington Irving Boat Club,Attraction,"238 Green St, Tarrytown, NY 10591","41.072021, -73.867253",(914) 332-0517,http://wiboatclub.com,,Private membership boat club.,Waterfronter
Tower Ridge Yacht Club,Attraction,"1 River St, Hastings-On-Hudson, NY 10706","40.998725, -73.884664",(914) 478-9729,http://garrisonyachtclub.com,,Private membership boat club.,Waterfronter
Huguenot Yacht Club,Attraction,"Harbor Ln W, New Rochelle, NY 10805","40.889741, -73.784500",(914) 636-6300,http://huguenotyc.com,,Private membership boat club.,Waterfronter
Derecktor Shipyards,Attraction,"311 E Boston Post Rd, Mamaroneck, NY 10543","40.949258, -73.730627",(914) 698-5020,http://www.derecktor.com,,Base of operations for renowned yachtbuilder.,Waterfronter
Rowayton Yacht Club,Attraction,"77 Bluff Ave, Norwalk, CT 06853","41.062152, -73.434870",(203) 854-0807,http://rowaytonyachtclub.com,,Private membership boat club.,Waterfronter
